antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'sale'}),frozenset({'buy'}),0.026778064550461646,0.5734667269776229,0.014985498762738473,0.5596184419713831,0.975851632963563,-0.00037083026981027736,0.9685538943360115
frozenset({'buy'}),frozenset({'sale'}),0.5734667269776229,0.026778064550461646,0.014985498762738473,0.0261314180191717,0.9758516329635631,-0.00037083026981027736,0.9993360022663689
frozenset({'rice'}),frozenset({'buy'}),0.04308330894287311,0.5734667269776229,0.029566559348641674,0.6862648221343873,1.1966950999079775,0.004859715181806484,1.3595328261374664
frozenset({'buy'}),frozenset({'rice'}),0.5734667269776229,0.04308330894287311,0.029566559348641674,0.0515575846997578,1.1966950999079775,0.004859715181806484,1.0089349396654745
frozenset({'rice'}),frozenset({'sell'}),0.04308330894287311,0.15751802676742144,0.010919830774552323,0.2534584980237154,1.6090761370313,0.00413343296325975,1.128513245415446
frozenset({'sell'}),frozenset({'rice'}),0.15751802676742144,0.04308330894287311,0.010919830774552323,0.06932432432432432,1.6090761370313,0.00413343296325975,1.0281956604940814
frozenset({'customer'}),frozenset({'buy'}),0.023233908948194663,0.5734667269776229,0.01616688396349413,0.6958314246449839,1.2133771532173578,0.0028430102440768334,1.4022923719997726
frozenset({'buy'}),frozenset({'customer'}),0.5734667269776229,0.023233908948194663,0.01616688396349413,0.02819149429767174,1.2133771532173578,0.0028430102440768334,1.0051014014802169
frozenset({'demand'}),frozenset({'buy'}),0.013841364446691323,0.5734667269776229,0.01052603570763377,0.760476739715494,1.3261043822428575,0.002588473741485261,1.7807592987659755
frozenset({'buy'}),frozenset({'demand'}),0.5734667269776229,0.013841364446691323,0.01052603570763377,0.01835509404897785,1.3261043822428575,0.002588473741485261,1.0045981286867816
frozenset({'improve'}),frozenset({'buy'}),0.0585317829869888,0.5734667269776229,0.028406460367719447,0.4853168469860896,0.8462859729349687,-0.005159569645993532,0.828729812749183
frozenset({'buy'}),frozenset({'improve'}),0.5734667269776229,0.0585317829869888,0.028406460367719447,0.04953462691276226,0.8462859729349687,-0.005159569645993532,0.9905339464971747
frozenset({'family'}),frozenset({'improve'}),0.07040417209908735,0.0585317829869888,0.01153180959476359,0.1637944066515495,2.7983840281776455,0.007410927872081197,1.12588127190474
frozenset({'improve'}),frozenset({'family'}),0.0585317829869888,0.07040417209908735,0.01153180959476359,0.19701791071915628,2.798384028177646,0.007410927872081197,1.157679405693177
